IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.54.173.154,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,95,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,95,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,97,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,97,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,97,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,98,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,98,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,103,0.00
34.214.74.191,2052,80,false,ORD,North America,Chicago,201,0.00
34.214.74.191,2053,80,false,ORD,North America,Chicago,203,0.00
54.213.92.168,80,8080,false,SEA,North America,Seattle,207,0.00
54.213.241.206,80,8080,false,SEA,North America,Seattle,207,0.00
54.213.94.219,80,8080,false,SEA,North America,Seattle,209,0.00
3.130.50.209,2053,443,true,ORD,North America,Chicago,224,0.00
3.131.137.43,2053,443,true,ORD,North America,Chicago,239,0.00
15.160.14.66,2086,80,false,MXP,Europe,Milan,247,0.00
