IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.253.136,443,443,true,FRA,Europe,Frankfurt,408,4.86
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,271,4.86
34.118.69.245,443,443,true,FRA,Europe,Frankfurt,267,4.85
34.89.239.137,443,443,true,FRA,Europe,Frankfurt,275,4.85
34.118.86.234,443,443,true,FRA,Europe,Frankfurt,278,4.84
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,266,4.84
34.116.157.41,443,443,true,FRA,Europe,Frankfurt,271,4.84
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,263,4.84
34.118.62.126,443,443,true,FRA,Europe,Frankfurt,331,4.84
34.90.188.200,443,443,true,FRA,Europe,Frankfurt,261,4.83
34.65.22.165,443,443,true,FRA,Europe,Frankfurt,271,4.83
34.90.168.44,443,443,true,FRA,Europe,Frankfurt,266,4.82
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,269,4.82
34.116.159.174,443,443,true,FRA,Europe,Frankfurt,327,4.82
34.91.80.183,443,443,true,FRA,Europe,Frankfurt,260,4.81
34.116.133.250,443,443,true,FRA,Europe,Frankfurt,289,4.80
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,321,4.80
35.246.157.28,443,443,true,FRA,Europe,Frankfurt,276,4.80
34.107.31.245,443,443,true,FRA,Europe,Frankfurt,287,4.80
34.65.91.37,443,443,true,FRA,Europe,Frankfurt,256,4.79
34.91.81.192,443,443,true,FRA,Europe,Frankfurt,258,4.78
34.89.215.49,443,443,true,FRA,Europe,Frankfurt,267,4.77
35.204.90.215,443,443,true,FRA,Europe,Frankfurt,257,4.76
34.154.193.120,443,443,true,FRA,Europe,Frankfurt,260,4.76
34.154.209.234,443,443,true,FRA,Europe,Frankfurt,269,4.75
34.89.175.145,443,443,true,FRA,Europe,Frankfurt,251,4.73
34.91.250.0,443,443,true,FRA,Europe,Frankfurt,261,4.73
34.65.150.145,443,443,true,FRA,Europe,Frankfurt,252,4.71
34.154.126.24,443,443,true,FRA,Europe,Frankfurt,272,4.71
34.91.80.183,443,443,true,FRA,Europe,Frankfurt,273,4.70
34.90.139.140,443,443,true,FRA,Europe,Frankfurt,271,4.70
34.91.55.37,443,443,true,FRA,Europe,Frankfurt,262,4.69
35.204.221.42,443,443,true,FRA,Europe,Frankfurt,273,4.69
34.91.151.64,443,443,true,FRA,Europe,Frankfurt,258,4.69
34.141.147.106,443,443,true,FRA,Europe,Frankfurt,259,4.69
34.65.43.234,443,443,true,FRA,Europe,Frankfurt,281,4.69
34.154.104.145,443,443,true,FRA,Europe,Frankfurt,252,4.68
34.89.143.19,443,443,true,FRA,Europe,Frankfurt,254,4.67
34.118.17.165,443,443,true,FRA,Europe,Frankfurt,375,4.67
34.90.195.121,443,443,true,FRA,Europe,Frankfurt,260,4.66
34.89.239.137,443,443,true,FRA,Europe,Frankfurt,261,4.65
34.154.85.218,443,443,true,FRA,Europe,Frankfurt,272,4.65
34.154.48.195,443,443,true,FRA,Europe,Frankfurt,271,4.65
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,262,4.64
34.118.5.126,443,443,true,FRA,Europe,Frankfurt,375,4.64
34.116.170.77,443,443,true,FRA,Europe,Frankfurt,343,4.61
34.154.211.195,443,443,true,FRA,Europe,Frankfurt,281,4.61
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,392,4.60
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,331,4.60
34.116.211.185,443,443,true,FRA,Europe,Frankfurt,275,4.59
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,333,4.59
34.154.122.94,443,443,true,FRA,Europe,Frankfurt,272,4.59
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,283,4.58
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,323,4.58
34.116.177.76,443,443,true,FRA,Europe,Frankfurt,269,4.58
34.90.139.140,443,443,true,FRA,Europe,Frankfurt,263,4.58
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,266,4.56
34.90.5.203,443,443,true,FRA,Europe,Frankfurt,273,4.56
34.116.151.212,443,443,true,FRA,Europe,Frankfurt,270,4.55
34.65.40.117,443,443,true,FRA,Europe,Frankfurt,264,4.55
34.118.5.126,443,443,true,FRA,Europe,Frankfurt,266,4.53
34.159.63.65,443,443,true,FRA,Europe,Frankfurt,279,4.52
34.154.71.109,443,443,true,FRA,Europe,Frankfurt,266,4.49
34.91.81.192,443,443,true,FRA,Europe,Frankfurt,275,4.49
34.116.132.131,443,443,true,FRA,Europe,Frankfurt,266,4.49
34.90.195.121,443,443,true,FRA,Europe,Frankfurt,259,4.48
34.154.104.177,443,443,true,FRA,Europe,Frankfurt,277,4.48
34.116.132.131,443,443,true,FRA,Europe,Frankfurt,434,4.47
34.159.126.244,443,443,true,FRA,Europe,Frankfurt,265,4.46
34.116.203.148,443,443,true,FRA,Europe,Frankfurt,272,4.45
34.116.189.118,443,443,true,FRA,Europe,Frankfurt,280,4.43
34.116.203.148,443,443,true,FRA,Europe,Frankfurt,308,4.43
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,254,4.42
34.141.199.73,443,443,true,FRA,Europe,Frankfurt,259,4.41
34.118.105.161,443,443,true,FRA,Europe,Frankfurt,291,4.38
34.141.177.115,443,443,true,FRA,Europe,Frankfurt,271,4.38
35.234.103.173,443,443,true,FRA,Europe,Frankfurt,259,4.37
34.118.50.15,443,443,true,FRA,Europe,Frankfurt,353,4.37
34.118.95.43,443,443,true,FRA,Europe,Frankfurt,283,4.37
34.116.240.209,443,443,true,FRA,Europe,Frankfurt,280,4.36
34.90.252.225,443,443,true,FRA,Europe,Frankfurt,259,4.35
34.91.166.163,443,443,true,FRA,Europe,Frankfurt,259,4.34
34.118.17.193,443,443,true,FRA,Europe,Frankfurt,374,4.34
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,267,4.33
34.154.122.87,443,443,true,FRA,Europe,Frankfurt,257,4.33
34.90.171.59,443,443,true,FRA,Europe,Frankfurt,268,4.32
34.116.159.183,443,443,true,FRA,Europe,Frankfurt,289,4.31
34.32.165.227,443,443,true,FRA,Europe,Frankfurt,268,4.30
34.154.237.0,443,443,true,FRA,Europe,Frankfurt,250,4.28
34.65.93.223,443,443,true,FRA,Europe,Frankfurt,269,4.27
34.90.189.36,443,443,true,FRA,Europe,Frankfurt,257,4.26
34.159.4.90,443,443,true,FRA,Europe,Frankfurt,303,4.25
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,272,4.25
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,370,4.25
34.116.238.49,443,443,true,FRA,Europe,Frankfurt,269,4.25
34.89.134.110,443,443,true,FRA,Europe,Frankfurt,272,4.24
34.90.171.59,443,443,true,FRA,Europe,Frankfurt,267,4.22
34.116.252.167,443,443,true,FRA,Europe,Frankfurt,279,4.22
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,268,4.22
34.154.73.91,443,443,true,FRA,Europe,Frankfurt,275,4.19
34.118.23.103,443,443,true,FRA,Europe,Frankfurt,330,4.19
34.116.255.53,443,443,true,FRA,Europe,Frankfurt,467,4.18
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,331,4.17
34.65.40.117,443,443,true,FRA,Europe,Frankfurt,272,4.16
34.118.119.150,443,443,true,FRA,Europe,Frankfurt,268,4.15
34.90.189.36,443,443,true,FRA,Europe,Frankfurt,287,4.13
34.118.56.193,443,443,true,FRA,Europe,Frankfurt,300,4.12
34.154.113.6,443,443,true,FRA,Europe,Frankfurt,251,4.11
34.159.126.198,443,443,true,FRA,Europe,Frankfurt,306,4.11
34.89.238.170,443,443,true,FRA,Europe,Frankfurt,270,4.11
34.116.219.165,443,443,true,FRA,Europe,Frankfurt,328,4.09
34.118.26.158,443,443,true,FRA,Europe,Frankfurt,298,4.08
34.118.99.214,443,443,true,FRA,Europe,Frankfurt,268,4.07
34.118.62.126,443,443,true,FRA,Europe,Frankfurt,278,4.06
34.116.235.211,443,443,true,FRA,Europe,Frankfurt,347,4.06
34.154.189.204,443,443,true,FRA,Europe,Frankfurt,274,4.04
34.118.101.112,443,443,true,FRA,Europe,Frankfurt,281,4.02
34.91.12.206,443,443,true,FRA,Europe,Frankfurt,299,4.01
34.90.171.59,443,443,true,FRA,Europe,Frankfurt,279,4.01
34.116.133.250,443,443,true,FRA,Europe,Frankfurt,320,4.00
34.118.75.249,443,443,true,FRA,Europe,Frankfurt,267,4.00
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,314,3.99
34.116.202.205,443,443,true,FRA,Europe,Frankfurt,275,3.98
34.32.151.133,443,443,true,FRA,Europe,Frankfurt,263,3.96
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,287,3.95
34.65.128.53,443,443,true,FRA,Europe,Frankfurt,270,3.94
34.116.233.114,443,443,true,FRA,Europe,Frankfurt,280,3.90
34.118.115.104,443,443,true,FRA,Europe,Frankfurt,279,3.89
34.116.246.225,443,443,true,FRA,Europe,Frankfurt,276,3.89
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,275,3.86
34.90.139.140,443,443,true,FRA,Europe,Frankfurt,273,3.86
34.118.56.193,443,443,true,FRA,Europe,Frankfurt,329,3.86
34.118.17.200,443,443,true,FRA,Europe,Frankfurt,275,3.85
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,279,3.82
34.118.23.103,443,443,true,FRA,Europe,Frankfurt,269,3.77
34.154.78.239,443,443,true,FRA,Europe,Frankfurt,260,3.76
35.234.85.250,443,443,true,FRA,Europe,Frankfurt,267,3.75
34.154.137.17,443,443,true,FRA,Europe,Frankfurt,276,3.64
34.154.217.68,443,443,true,FRA,Europe,Frankfurt,259,3.61
34.118.64.153,443,443,true,FRA,Europe,Frankfurt,272,3.58
34.116.228.105,443,443,true,FRA,Europe,Frankfurt,273,3.55
34.105.233.161,443,443,true,LHR,Europe,London,215,3.07
34.65.77.236,443,443,true,FRA,Europe,Frankfurt,299,3.01
34.116.129.250,443,443,true,FRA,Europe,Frankfurt,344,3.01
34.116.207.191,443,443,true,FRA,Europe,Frankfurt,280,2.45
34.118.99.120,443,443,true,FRA,Europe,Frankfurt,272,2.44
34.116.169.139,443,443,true,FRA,Europe,Frankfurt,277,2.26
34.118.95.43,443,443,true,FRA,Europe,Frankfurt,268,1.92
34.116.221.100,443,443,true,FRA,Europe,Frankfurt,268,1.91
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,42,1.73
34.91.22.89,443,443,true,FRA,Europe,Frankfurt,300,1.43
34.154.59.81,443,443,true,FRA,Europe,Frankfurt,261,1.19
34.91.211.250,443,443,true,FRA,Europe,Frankfurt,307,0.97
34.154.177.38,443,443,true,FRA,Europe,Frankfurt,255,0.93
34.154.186.32,443,443,true,FRA,Europe,Frankfurt,253,0.89
34.154.118.223,443,443,true,FRA,Europe,Frankfurt,266,0.73
34.154.4.46,443,443,true,FRA,Europe,Frankfurt,260,0.60
34.154.24.239,443,443,true,FRA,Europe,Frankfurt,260,0.58
34.90.137.139,443,443,true,FRA,Europe,Frankfurt,295,0.48
34.48.102.73,443,443,true,IAD,North America,Ashburn,225,0.39
34.86.193.161,443,443,true,IAD,North America,Ashburn,311,0.39
34.86.193.161,443,443,true,IAD,North America,Ashburn,283,0.38
34.86.193.161,443,443,true,IAD,North America,Ashburn,210,0.38
35.236.217.105,443,443,true,IAD,North America,Ashburn,215,0.36
34.86.93.249,443,443,true,IAD,North America,Ashburn,219,0.36
35.194.78.251,443,443,true,IAD,North America,Ashburn,214,0.36
34.48.102.73,443,443,true,IAD,North America,Ashburn,241,0.36
34.86.93.249,443,443,true,IAD,North America,Ashburn,215,0.36
34.116.128.178,443,443,true,FRA,Europe,Frankfurt,425,0.29
34.86.193.161,443,443,true,IAD,North America,Ashburn,345,0.27
34.116.190.169,443,443,true,FRA,Europe,Frankfurt,314,0.24
35.204.84.83,443,443,true,FRA,Europe,Frankfurt,306,0.20
34.107.125.78,443,443,true,FRA,Europe,Frankfurt,324,0.19
34.65.113.143,443,443,true,FRA,Europe,Frankfurt,290,0.19
34.116.255.222,443,443,true,FRA,Europe,Frankfurt,287,0.12
34.91.239.5,443,443,true,FRA,Europe,Frankfurt,312,0.09
35.204.32.219,443,443,true,FRA,Europe,Frankfurt,308,0.07
34.107.106.14,443,443,true,FRA,Europe,Frankfurt,285,0.04
34.91.211.250,443,443,true,FRA,Europe,Frankfurt,306,0.01
34.82.76.253,80,80,false,SEA,North America,Seattle,155,0.00
35.244.181.58,80,80,false,SIN,Asia Pacific,Singapore,1,0.00
35.241.49.199,80,80,false,SIN,Asia Pacific,Singapore,1,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,Singapore,3,0.00
34.36.183.121,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
34.110.234.120,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
34.110.234.120,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
34.101.169.73,80,8080,false,SIN,Asia Pacific,Singapore,19,0.00
34.120.58.14,80,80,false,SIN,Asia Pacific,Singapore,20,0.00
34.110.227.66,80,80,false,SIN,Asia Pacific,Singapore,21,0.00
34.110.227.66,80,80,false,SIN,Asia Pacific,Singapore,22,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,Singapore,28,0.00
34.101.169.73,80,8080,false,SIN,Asia Pacific,Singapore,33,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,34,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,60,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,60,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,63,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,63,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,64,0.00
34.64.94.216,80,80,false,ICN,Asia Pacific,Seoul,72,0.00
34.64.94.216,80,80,false,ICN,Asia Pacific,Seoul,73,0.00
34.64.94.216,80,80,false,ICN,Asia Pacific,Seoul,74,0.00
34.64.94.216,80,80,false,ICN,Asia Pacific,Seoul,79,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,101,0.00
35.247.124.181,80,80,false,SEA,North America,Seattle,155,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,155,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,156,0.00
34.82.48.25,80,80,false,SEA,North America,Seattle,156,0.00
34.168.218.118,443,443,true,SEA,North America,Seattle,156,0.00
34.82.48.25,80,80,false,SEA,North America,Seattle,156,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,156,0.00
34.82.48.25,443,80,false,SEA,North America,Seattle,156,0.00
34.82.48.25,80,80,false,SEA,North America,Seattle,156,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,159,0.00
34.82.48.25,80,80,false,SEA,North America,Seattle,166,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,174,0.00
34.83.75.32,443,443,true,SEA,North America,Seattle,179,0.00
34.175.133.251,2052,80,false,MAD,Europe,Madrid,188,0.00
34.175.244.157,2083,80,false,MAD,Europe,Madrid,188,0.00
34.175.133.251,2096,80,false,MAD,Europe,Madrid,188,0.00
34.175.168.99,2082,80,false,MAD,Europe,Madrid,188,0.00
34.175.133.251,2095,80,false,MAD,Europe,Madrid,188,0.00
34.175.161.245,2053,80,false,MAD,Europe,Madrid,188,0.00
34.175.95.58,2096,80,false,MAD,Europe,Madrid,188,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,189,0.00
34.175.161.245,2095,80,false,MAD,Europe,Madrid,189,0.00
34.175.161.245,2082,80,false,MAD,Europe,Madrid,189,0.00
34.175.99.73,2096,80,false,MAD,Europe,Madrid,189,0.00
34.175.133.251,2086,80,false,MAD,Europe,Madrid,189,0.00
34.175.133.251,2087,80,false,MAD,Europe,Madrid,189,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,189,0.00
34.175.244.157,2053,80,false,MAD,Europe,Madrid,189,0.00
34.175.99.73,2086,80,false,MAD,Europe,Madrid,189,0.00
34.175.99.73,2095,80,false,MAD,Europe,Madrid,189,0.00
34.175.133.251,2082,80,false,MAD,Europe,Madrid,189,0.00
34.175.95.58,2053,80,false,MAD,Europe,Madrid,189,0.00
34.175.244.157,2086,80,false,MAD,Europe,Madrid,189,0.00
34.175.244.157,2096,80,false,MAD,Europe,Madrid,190,0.00
34.175.133.251,2083,80,false,MAD,Europe,Madrid,190,0.00
34.175.7.231,2082,80,false,MAD,Europe,Madrid,190,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,190,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,190,0.00
34.175.168.99,2087,80,false,MAD,Europe,Madrid,190,0.00
34.175.143.15,2095,80,false,MAD,Europe,Madrid,190,0.00
34.175.99.73,2082,80,false,MAD,Europe,Madrid,190,0.00
34.175.99.73,2052,80,false,MAD,Europe,Madrid,190,0.00
34.175.161.245,2083,80,false,MAD,Europe,Madrid,190,0.00
34.175.7.231,2053,80,false,MAD,Europe,Madrid,191,0.00
34.175.244.157,2095,80,false,MAD,Europe,Madrid,191,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,191,0.00
34.140.239.154,2053,80,false,CDG,Europe,Paris,194,0.00
34.140.239.154,2082,80,false,CDG,Europe,Paris,194,0.00
34.140.239.154,2087,80,false,CDG,Europe,Paris,194,0.00
34.175.133.251,2053,80,false,MAD,Europe,Madrid,195,0.00
35.187.41.171,2087,80,false,CDG,Europe,Paris,195,0.00
34.175.161.245,2087,80,false,MAD,Europe,Madrid,195,0.00
34.140.239.154,2096,80,false,CDG,Europe,Paris,195,0.00
34.140.239.154,2083,80,false,CDG,Europe,Paris,196,0.00
34.140.239.154,2086,80,false,CDG,Europe,Paris,196,0.00
34.175.244.157,2087,80,false,MAD,Europe,Madrid,197,0.00
34.175.95.58,2086,80,false,MAD,Europe,Madrid,197,0.00
34.175.168.99,2083,80,false,MAD,Europe,Madrid,197,0.00
34.175.161.245,2096,80,false,MAD,Europe,Madrid,197,0.00
34.175.244.157,2052,80,false,MAD,Europe,Madrid,197,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,197,0.00
35.187.41.171,2083,80,false,CDG,Europe,Paris,197,0.00
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,198,0.00
34.175.95.58,2087,80,false,MAD,Europe,Madrid,198,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,198,0.00
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,198,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,198,0.00
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,198,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,198,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,198,0.00
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,198,0.00
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,199,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,199,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,199,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,199,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,199,0.00
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,200,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,200,0.00
35.232.39.116,80,80,false,DFW,North America,Dallas,205,0.00
34.31.28.38,8080,80,false,ORD,North America,Chicago,206,0.00
34.31.28.38,8080,80,false,ORD,North America,Chicago,206,0.00
34.70.91.86,443,443,true,ORD,North America,Chicago,207,0.00
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,208,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,208,0.00
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,208,0.00
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,208,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,209,0.00
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,209,0.00
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,209,0.00
34.140.239.154,2052,80,false,CDG,Europe,Paris,209,0.00
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,209,0.00
34.138.46.122,80,80,false,ATL,North America,Atlanta,219,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,221,0.00
35.196.217.7,80,80,false,ATL,North America,Atlanta,221,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,221,0.00
34.175.161.245,2052,80,false,MAD,Europe,Madrid,234,0.00
34.175.161.245,2086,80,false,MAD,Europe,Madrid,236,0.00
35.198.120.88,443,443,true,FRA,Europe,Frankfurt,262,0.00
35.228.77.188,8080,80,false,ARN,Europe,Stockholm,273,0.00
34.154.232.119,443,443,true,FRA,Europe,Frankfurt,277,0.00
34.175.244.157,2082,80,false,MAD,Europe,Madrid,278,0.00
34.89.237.7,443,443,true,FRA,Europe,Frankfurt,293,0.00
34.107.32.69,443,443,true,FRA,Europe,Frankfurt,298,0.00
34.65.84.95,443,443,true,FRA,Europe,Frankfurt,299,0.00
34.154.25.71,443,443,true,FRA,Europe,Frankfurt,300,0.00
34.65.137.148,443,443,true,FRA,Europe,Frankfurt,302,0.00
34.65.113.143,443,443,true,FRA,Europe,Frankfurt,304,0.00
34.147.4.61,443,443,true,FRA,Europe,Frankfurt,305,0.00
34.89.156.120,443,443,true,FRA,Europe,Frankfurt,305,0.00
35.242.247.128,443,443,true,FRA,Europe,Frankfurt,342,0.00
34.102.111.127,80,80,false,LAX,North America,Los Angeles,348,0.00
34.116.133.0,443,443,true,FRA,Europe,Frankfurt,376,0.00
34.145.66.39,8080,8080,false,BOM,Asia Pacific,Mumbai,397,0.00
34.145.66.39,8080,8080,false,BOM,Asia Pacific,Mumbai,398,0.00
